8749,2020,Data Analyst,Python,R,SQL,,,,,,,,,,,,,
8750,2020,Machine Learning Engineer,Python,,,,,,,,,,,,,,,
8751,2020,Data Analyst,Python,R,SQL,,,,,,,,,,,,,
8752,2020,Data Analyst,Python,,SQL,,,Java,,,,,,,,,,
8753,2020,Student,Python,,,,,,,,,,,,,,,
8754,2020,Currently not employed,Python,,,,,,,,,,,,,,,
8755,2020,Student,Python,,,C,,,,,,,,,,,,
8756,2020,Software Engineer,,,SQL,,,,Javascript,,,,,,Other,,,
8757,2020,Student,Python,,,C,,Java,Javascript,,,,,,,,,
8758,2020,Currently not employed,Python,,SQL,,,,,,Swift,,,,Other,,,
8759,2020,Machine Learning Engineer,Python,R,SQL,,C++,Java,Javascript,,,,MATLAB,,,,,
8760,2020,Other,Python,,,,,,,,,,,,,,,
8761,2020,Student,Python,,,,,,,,,,,,,,,
8762,2020,Data Analyst,,R,SQL,,,,,,,,,,Other,,,
8763,2020,Currently not employed,Python,,,,,,,,,,,,,,,
8764,2020,Student,,,,,,,,,,,,,,,,
8765,2020,Student,Python,R,,C,C++,,,Julia,,Bash,,,,,,
8766,2020,Student,Python,,SQL,,,Java,,,,,,,,,,
8767,2020,Student,,R,,,,,,,,,,,,,,
8768,2020,Student,Python,,SQL,,,Java,,,,,,,,,,
8769,2020,Student,Python,,,,,,,,,,,,,,,
8770,2020,Student,Python,,,,C++,Java,,,,,,,,,,
8771,2020,Software Engineer,Python,,SQL,,,,,,,,,,,,,
8772,2020,Student,Python,R,SQL,,,Java,Javascript,,,,,,,,,
8773,2020,Student,Python,R,,,,,,,,,,,,,,
8774,2020,Student,Python,R,,,,,,,,,,,,,,
8775,2020,Data Scientist,Python,,,,,,,,,,MATLAB,,Other,,,
8776,2020,Student,Python,R,SQL,C,,,,,,Bash,MATLAB,,,,,
8777,2020,Student,Python,,,,,Java,Javascript,,Swift,,MATLAB,,,,,
8778,2020,Statistician,Python,,,,,,,,,,,,,,,
8779,2020,Student,Python,,,,,,Javascript,,,Bash,MATLAB,,,,,
8780,2020,Data Analyst,,,,,,,Javascript,,,,,,,,,
8781,2020,Data Analyst,Python,,SQL,C,C++,Java,Javascript,,,Bash,,,,,,
8782,2020,Other,,,,,,,,,,,,,,,,
8783,2020,Machine Learning Engineer,Python,,SQL,,,,,,,,,,,,,
8784,2020,Student,Python,,,,,,,,,,,,,,,
8785,2020,,,,,,,,,,,,,,,,,
8786,2020,Data Analyst,Python,R,SQL,,,,,,,Bash,MATLAB,,,,,
8787,2020,Data Analyst,Python,,SQL,,,,,,,,,,Other,,,
8788,2020,Data Analyst,Python,,,,,,,,,,,,,,,
8789,2020,Data Analyst,Python,,SQL,,,,,,,,,,,,,
8790,2020,Student,Python,R,,,,,,,,,,,,,,
8791,2020,Software Engineer,,,,,,,,,,Bash,,,Other,,,
8792,2020,Data Analyst,,R,,,,,,,,,,,,,,
8793,2020,Data Analyst,Python,,,,,,,,,,,,,,,
8794,2020,Data Scientist,Python,,,,,,,,,,,,,,,
8795,2020,Student,Python,,,,,,,Julia,,,,,,,,
8796,2020,Machine Learning Engineer,Python,,,,,,,,,,,,,,,
8797,2020,Other,Python,,,,,,,,,,,,,,,
8798,2020,Student,Python,,,,,,,,,,,,,,,
8799,2020,Software Engineer,Python,,,,C++,,,,,,,,,,,
8800,2020,Student,Python,,,,,,Javascript,,,,,,,,,
8801,2020,Data Scientist,Python,,,,,,,,,,,,,,,
8802,2020,,,,,,,,,,,,,,,,,
8803,2020,Software Engineer,Python,R,SQL,,C++,,,,,,,,,,,
8804,2020,Machine Learning Engineer,Python,,,C,C++,Java,Javascript,,,,,,,,,
8805,2020,Research Scientist,Python,,,,,,,,,,,,,,,
8806,2020,Student,Python,,,C,C++,,,,,,MATLAB,,,,,
8807,2020,Software Engineer,Python,R,,,,Java,,,,,,,,,,
8808,2020,Software Engineer,Python,,,,,,Javascript,,,,,,,,,
8809,2020,Other,,R,SQL,,,,,,,,,,,,,
8810,2020,Machine Learning Engineer,Python,R,SQL,C,C++,,,,,,,,,,,
8811,2020,,,,,,,,,,,,,,,,,
8812,2020,Student,Python,,,,C++,,Javascript,,Swift,,,,,,,
8813,2020,Machine Learning Engineer,Python,,SQL,,C++,Java,,,,Bash,,,,,,
8814,2020,Currently not employed,Python,,,,,,Javascript,,,,,,,,,
8815,2020,Software Engineer,,,,,,,,Julia,,,,,,,,
8816,2020,Currently not employed,Python,,,,,,,,,,,,,,,
8817,2020,Research Scientist,,R,SQL,,,,,,,Bash,,,,,,
8818,2020,Software Engineer,Python,,,,C++,Java,,,,,,,Other,,,
8819,2020,Software Engineer,Python,,,,C++,,Javascript,,,,,,Other,,,
8820,2020,Other,Python,R,SQL,,,,,,,,,,,,,
8821,2020,Student,Python,R,SQL,C,C++,Java,,Julia,,,,,,,,
8822,2020,Business Analyst,,,,,,,,,,,,,,,,
8823,2020,Student,Python,,,,,,,,,,,,,,,
8824,2020,Research Scientist,Python,,,C,,,,,,,,,,,,
8825,2020,Research Scientist,Python,R,,,,,,,,,,,,,,
8826,2020,Student,,,,,,,,,,,,,,,,
8827,2020,Data Analyst,,,SQL,,,,,,,,,,,,,
8828,2020,Data Analyst,,,,,,,,,,,,,,,,
8829,2020,Data Scientist,Python,,SQL,C,,Java,Javascript,,,Bash,MATLAB,,,,,
8830,2020,Data Scientist,,,SQL,,,,,,,Bash,,,Other,,,
8831,2020,Business Analyst,Python,,SQL,,,,,,,,,,,,,
8832,2020,Software Engineer,Python,,,,,,,,,,,,,,,
8833,2020,,,,,,,,,,,,,,,,,
8834,2020,Other,Python,,,,,,,,,,,,,,,
8835,2020,Data Analyst,Python,,SQL,,,,,,,,,,,,,
8836,2020,Data Analyst,,R,SQL,,,,,,,,,,,,,
8837,2020,Business Analyst,,,SQL,,,Java,,,,,,,,,,
8838,2020,Data Analyst,Python,R,SQL,,,,,,Swift,,,,,,,
8839,2020,,,,,,,,,,,,,,,,,
8840,2020,Student,Python,,,,,,,,,,,,,,,
8841,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
8842,2020,Data Scientist,Python,R,SQL,,,,,,,,,,,,,
8843,2020,DBA/Database Engineer,Python,,,,,,,,,,,,,,,
8844,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
8845,2020,Student,Python,R,SQL,,,,,,,,,,,,,
8846,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
8847,2020,Business Analyst,Python,,SQL,,,,Javascript,,,,,,Other,,,
8848,2020,Software Engineer,Python,,,C,C++,,,,,Bash,,,,,,
8849,2020,Machine Learning Engineer,Python,,SQL,,,Java,,,,,,,,,,
8850,2020,Software Engineer,Python,,SQL,,,,,,,,,,Other,,,
8851,2020,Data Engineer,Python,,SQL,,,,,,,,,,,,,
8852,2020,Student,Python,,,,,,,,,,,,,,,
8853,2020,Student,,,,,,,,,,,,,,,,
8854,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
8855,2020,Research Scientist,Python,,,,,,,,,,,,,,,
8856,2020,Business Analyst,,,,,,,,,,,,,,,,
8857,2020,Software Engineer,Python,,SQL,,,,Javascript,,,,,,Other,,,
8858,2020,Student,Python,,,C,C++,,,,,,MATLAB,,,,,
8859,2020,Student,Python,,SQL,,,,,,,,MATLAB,,,,,
8860,2020,Student,Python,,SQL,C,C++,Java,Javascript,,,,,,,,,
8861,2020,Student,Python,,,,,,,,,,,,,,,
8862,2020,,,,,,,,,,,,,,,,,
8863,2020,Research Scientist,Python,,,C,C++,Java,,,,,MATLAB,,,,,
8864,2020,Other,Python,R,SQL,,,,,,,,,,,,,
8865,2020,Other,Python,,SQL,,,Java,Javascript,,,,,,,,,
8866,2020,Student,Python,,,C,,,,,,,,,,,,
8867,2020,Other,,,,,,,,,,,,,,,,
8868,2020,Student,Python,,,C,,,,,,,MATLAB,,,,,
8869,2020,Data Engineer,,,SQL,,,,,,,,,,,,,
8870,2020,Student,Python,,,,C++,,,,,,,,,,,
8871,2020,Product/Project Manager,Python,,SQL,,,Java,,,,,MATLAB,,,,,
8872,2020,Software Engineer,,,SQL,,,Java,Javascript,,,,,,,,,
8873,2020,Software Engineer,Python,,SQL,,C++,Java,Javascript,,,,,,,,,
8874,2020,Data Scientist,Python,R,,,,,,,,,,,,,,
8875,2020,Other,,,SQL,,,,Javascript,,,,,,,,,
8876,2020,Other,Python,,SQL,,,Java,,,,,,,,,,
8877,2020,Currently not employed,Python,,SQL,,C++,,,,,,,,,,,
8878,2020,,,,,,,,,,,,,,,,,
8879,2020,Currently not employed,Python,R,,C,,Java,,,,,,,,,,
8880,2020,Data Scientist,Python,,SQL,,,Java,,,,,,,Other,,,
8881,2020,Student,Python,,,C,C++,,,,,,,,,,,
8882,2020,Research Scientist,Python,,,,,Java,,,,,,,,,,
8883,2020,Product/Project Manager,Python,,SQL,C,C++,,,,,,,,,,,
8884,2020,Data Scientist,Python,,SQL,,,,,,,Bash,MATLAB,,,,,
8885,2020,Data Scientist,,R,,C,,Java,,,,,MATLAB,,,,,
8886,2020,Student,Python,,,,,,,,,,,,,,,
8887,2020,Machine Learning Engineer,Python,,,,C++,,,,,,,,,,,
8888,2020,Student,Python,R,,,,Java,,,,,,,,,,
8889,2020,Data Scientist,Python,,SQL,,,,Javascript,,,,,,,,,
8890,2020,Software Engineer,Python,,,C,,Java,,,,,,,,,,
8891,2020,Other,Python,,,,C++,,,,,,,,Other,,,
8892,2020,Student,,,,,,,,,,,,,,,,
8893,2020,Statistician,Python,,,,,,,,,,,,,,,
8894,2020,Student,Python,,SQL,C,C++,Java,Javascript,,,,MATLAB,,,,,
8895,2020,Data Analyst,,,,,,,,,,,,,,,,
8896,2020,Software Engineer,Python,R,SQL,C,C++,,Javascript,,,,,,Other,,,
8897,2020,Other,Python,,,,,,Javascript,,,,,,Other,,,
8898,2020,Software Engineer,Python,,SQL,,,Java,,,,,,,,,,
8899,2020,Currently not employed,Python,R,SQL,,,,,,,,,,,,,
8900,2020,Business Analyst,,,,,,,,,,,,,Other,,,
8901,2020,Machine Learning Engineer,Python,,,C,C++,,,,,,,,,,,
8902,2020,,,,,,,,,,,,,,,,,
8903,2020,Business Analyst,,R,,,,,,,,,,,,,,
8904,2020,Business Analyst,Python,,,,,,,,,,,,,,,
8905,2020,Data Scientist,Python,R,,,,,,,,,,,,,,
8906,2020,Research Scientist,,,,,,,,,,,MATLAB,,,,,
8907,2020,Currently not employed,,,,,,,,,,,,,,,,
8908,2020,Data Scientist,Python,,SQL,,,,Javascript,,,,,,,,,
8909,2020,Currently not employed,Python,R,,,,,,,,,,,,,,
8910,2020,Student,Python,,,,C++,,,,,,,,,,,
8911,2020,Data Scientist,Python,R,SQL,,,,,,,,,,,,,
8912,2020,Research Scientist,Python,,SQL,C,C++,Java,,,,Bash,,,,,,
8913,2020,Software Engineer,Python,,SQL,,,,Javascript,,,,,,Other,,,
8914,2020,Business Analyst,Python,,,,,,,,,,,,,,,
8915,2020,Student,Python,,SQL,,,,,,,,,,,,,
8916,2020,Other,Python,R,SQL,,,,,,,Bash,,,,,,
8917,2020,Currently not employed,,,,,,,,,,,,,,,,
8918,2020,Currently not employed,Python,,,,,,,,,,MATLAB,,,,,
8919,2020,Business Analyst,Python,R,SQL,C,C++,Java,Javascript,,Swift,,MATLAB,,Other,,,
8920,2020,Data Analyst,,,,,,,,,,,,,,,,
8921,2020,Student,,,,,,,,,,,,,,,,
8922,2020,Data Scientist,Python,,,C,C++,Java,,,,,,,,,,
8923,2020,Student,Python,,SQL,C,C++,Java,Javascript,,,,,,,,,
8924,2020,Machine Learning Engineer,Python,,SQL,,,,,,,,,,,,,
8925,2020,Other,Python,,,,,,,,,,,,,,,
8926,2020,Machine Learning Engineer,Python,,,,,Java,,,,,,,,,,
8927,2020,Data Analyst,Python,,,,,,Javascript,,,,,,,,,
8928,2020,Data Scientist,Python,,SQL,,,,,,,,,,Other,,,
8929,2020,Research Scientist,,R,,,,,,,,,,,,,,
8930,2020,Student,,,,,,,,,,,,,,,,
8931,2020,,,,,,,,,,,,,,,,,
8932,2020,Data Analyst,Python,R,,,,,,,,,,,,,,
8933,2020,Student,,,,,,,,,,,,,,,,
8934,2020,Student,Python,,,,C++,Java,Javascript,,,,,,,,,
8935,2020,Student,Python,,SQL,,,,,,,,,,,,,
8936,2020,Other,Python,,SQL,C,C++,,,,,,,,,,,
8937,2020,Machine Learning Engineer,Python,,,,,,,,,,MATLAB,,,,,
8938,2020,Student,Python,,,,,,,,,Bash,,,,,,
8939,2020,Software Engineer,Python,,,,,,,,,,,,,,,
8940,2020,Student,Python,,,,,,,,,,MATLAB,,,,,
8941,2020,Data Scientist,Python,R,SQL,,,,,,,,,,,,,
8942,2020,Student,Python,,,,,,,,,,MATLAB,,,,,
8943,2020,,,,,,,,,,,,,,,,,
8944,2020,Currently not employed,Python,,SQL,,,,,,,,,,,,,
8945,2020,Machine Learning Engineer,Python,,,,,,,,,Bash,,,,,,
8946,2020,Student,Python,,,,,,,,,,,,,,,
8947,2020,Currently not employed,Python,,,,,Java,,,,,,,,,,
8948,2020,Currently not employed,Python,,,,,,,,,,,,,,,
8949,2020,Data Scientist,Python,,SQL,,C++,,,,,Bash,,,,,,
8950,2020,Data Analyst,Python,R,SQL,,,,,,,,,,Other,,,
8951,2020,Research Scientist,,,SQL,C,C++,Java,,,,,MATLAB,,,,,
8952,2020,Currently not employed,Python,,SQL,,,,,,,,,,,,,
8953,2020,Business Analyst,Python,,SQL,,,,Javascript,,,Bash,,,,,,
8954,2020,Currently not employed,Python,R,SQL,,C++,,,,,,,,,,,
8955,2020,Student,,,,,C++,,,,,,,,,,,
8956,2020,Other,Python,,SQL,,,,,,,,,,,,,
8957,2020,Other,,,,,,,,,,,,,,,,
8958,2020,Data Scientist,,,,,,,,,,,,,,,,
8959,2020,,,,,,,,,,,,,,,,,
8960,2020,Business Analyst,,,SQL,,,,Javascript,,,,,,,,,
8961,2020,Data Analyst,Python,,SQL,,C++,Java,Javascript,,,,MATLAB,,,,,
8962,2020,Software Engineer,,,SQL,,,,,,,,,,,,,
8963,2020,Software Engineer,,,,,,,,,,,,,Other,,,
8964,2020,Student,Python,,SQL,,,,Javascript,,,,,,,,,
8965,2020,Student,Python,,,,,,Javascript,,,,MATLAB,,,,,
8966,2020,Student,Python,R,,,,,,,,,,,,,,
8967,2020,Other,Python,,SQL,,,,,,,,,,,,,
8968,2020,Research Scientist,,,,C,C++,,,,,,,,,,,
8969,2020,Data Scientist,Python,,,,,,,,,Bash,,,,,,
8970,2020,Student,Python,,SQL,,C++,Java,,,,,,,,,,
8971,2020,Software Engineer,Python,,,C,C++,,,,,,,,,,,
8972,2020,Data Analyst,Python,R,SQL,,,,,,,,,,,,,
8973,2020,Research Scientist,,R,,,,,,,,,,,,,,
8974,2020,Business Analyst,,,,,,,,,,,,,,,,
8975,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
8976,2020,Software Engineer,,,SQL,,,Java,,,,Bash,,,,,,
8977,2020,Software Engineer,Python,,,,,Java,,,,,,,,,,
8978,2020,Software Engineer,Python,,,,,,,,,,,,,,,
8979,2020,Software Engineer,,,,,,,,,,,,,Other,,,
8980,2020,Student,Python,,SQL,,,,,,,,,,,,,
8981,2020,Data Scientist,Python,R,,,,,,,,,,,,,,
8982,2020,Data Analyst,Python,,,,,,,,,,,,Other,,,
8983,2020,Student,Python,,,,,,,,,,,,,,,
8984,2020,Other,,,SQL,,,,Javascript,,,,,,Other,,,
8985,2020,Data Scientist,Python,,,,,,,,,,,,,,,
8986,2020,Other,,,,,,,,,,,,,,,,
8987,2020,Product/Project Manager,Python,R,SQL,C,C++,Java,Javascript,,Swift,Bash,MATLAB,,,,,
8988,2020,Student,Python,,SQL,,,,Javascript,,,,,,Other,,,
8989,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
8990,2020,Product/Project Manager,Python,,SQL,,,,,,,,,,Other,,,
8991,2020,Data Analyst,,,,,,,,,,,,,,,,
8992,2020,Business Analyst,,,,,,,,,,,,,,,,
8993,2020,Student,Python,,,C,C++,,,,,,MATLAB,,,,,
8994,2020,Currently not employed,,R,,,,,,,,,MATLAB,,,,,
8995,2020,,,,,,,,,,,,,,,,,
8996,2020,Student,Python,,,,,,,,,,,,Other,,,
8997,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
8998,2020,Student,Python,,,,,,,,,,,,,,,
8999,2020,Student,Python,R,SQL,C,,Java,Javascript,,,,MATLAB,,,,,
9000,2020,Student,Python,,,,,,,,,,,,,,,
9001,2020,Student,Python,,,,,,Javascript,,,,,,,,,
9002,2020,Student,Python,,SQL,,,,,,,,,,,,,
9003,2020,Student,Python,R,SQL,,,,,,,,,,,,,
9004,2020,Business Analyst,Python,R,SQL,C,,,,,,,,,,,,
9005,2020,Machine Learning Engineer,Python,,,C,C++,,,,,Bash,,,,,,
9006,2020,Student,Python,,SQL,,,,,,,,,,,,,
9007,2020,Student,Python,,SQL,,,,,,,,,,,,,
9008,2020,Software Engineer,,,SQL,,,Java,,,Swift,,,,,,,
9009,2020,Data Scientist,Python,R,SQL,,,,,,,Bash,,,,,,
9010,2020,Product/Project Manager,Python,,,,,,Javascript,,,,,,,,,
9011,2020,Software Engineer,Python,,SQL,,,Java,Javascript,,,Bash,,,,,,
9012,2020,Software Engineer,Python,,SQL,,,Java,Javascript,,,,,,Other,,,
9013,2020,Software Engineer,Python,,SQL,,,Java,Javascript,,,Bash,,,,,,
9014,2020,Software Engineer,,,SQL,,,Java,,,,,,,,,,
9015,2020,Student,Python,,,,C++,,,,,,,,,,,
9016,2020,Student,Python,R,,,,,,,,,,,,,,
9017,2020,Data Scientist,Python,R,SQL,,C++,Java,,,,,,,,,,
9018,2020,Student,,,,,,,,Julia,,,,,,,,
9019,2020,Machine Learning Engineer,Python,,,,C++,,,,,,,,,,,
9020,2020,Data Analyst,Python,R,SQL,C,C++,,Javascript,,,,MATLAB,,,,,
9021,2020,Business Analyst,Python,,,,,,,,,,,,,,,
9022,2020,Student,Python,,,,,,,,,,,,,,,
9023,2020,Student,,,,,,,,,,,,,,,,
9024,2020,Data Analyst,Python,,SQL,,,,,,,,,,,,,
9025,2020,Machine Learning Engineer,Python,,,,,,,,,,,,,,,
9026,2020,Student,Python,,,,,,,,,,,,,,,
9027,2020,Machine Learning Engineer,Python,,,,C++,Java,,,,,MATLAB,,,,,
9028,2020,Data Analyst,Python,R,SQL,,,,,,,,,,,,,
9029,2020,Other,Python,,,,,Java,Javascript,,,,,,,,,
9030,2020,Student,,,,C,,,,,,,,,,,,
9031,2020,Student,Python,R,,,,Java,,,,,,,,,,
9032,2020,Software Engineer,Python,,,,,,,,,,,,,,,
9033,2020,Other,Python,R,SQL,,,,Javascript,,,,,,,,,
9034,2020,Data Scientist,Python,R,SQL,,,,,,,,MATLAB,,,,,
9035,2020,DBA/Database Engineer,Python,,SQL,C,C++,Java,,,,,,,Other,,,
9036,2020,Software Engineer,Python,R,SQL,,,,,,,,,,,,,
9037,2020,Currently not employed,,,SQL,C,C++,Java,,,,,,,,,,
9038,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
9039,2020,Business Analyst,Python,R,SQL,,,,,,,Bash,,,,,,
9040,2020,Other,,,SQL,,,,,,,,,,,,,
9041,2020,Product/Project Manager,Python,R,,,,,,,,,,,,,,
9042,2020,Business Analyst,,,,,,,,,,,,,,,,
9043,2020,Currently not employed,Python,,,,,,,,,,,,,,,
9044,2020,Statistician,,R,,,,,,,,,,,Other,,,
9045,2020,Software Engineer,,,SQL,,,,,,,,,,,,,
9046,2020,Data Scientist,Python,,,C,C++,,,,,,,,,,,
9047,2020,Software Engineer,Python,,,,,,,,,Bash,,,Other,,,
9048,2020,Student,Python,,,,,,,,,,MATLAB,,,,,
9049,2020,Currently not employed,,,,,,,,,,,MATLAB,,,,,
9050,2020,Currently not employed,Python,R,,,,,,,,,,,,,,
9051,2020,Other,Python,R,SQL,,,,,,,,,,,,,
9052,2020,Machine Learning Engineer,Python,,,,,,,,,,,,,,,
9053,2020,Data Engineer,Python,,,,,,,,,,,,,,,
9054,2020,Other,Python,,,,,,,,,,,,,,,
9055,2020,Business Analyst,,,,,,,,,,,,,Other,,,
9056,2020,Other,Python,,SQL,,,,,,,,,,,,,
9057,2020,Research Scientist,Python,R,,,,,,,,,,,,,,
9058,2020,Other,,R,,,,,,,,,,,,,,
9059,2020,Currently not employed,Python,,,,,,Javascript,,,,MATLAB,,,,,
9060,2020,Software Engineer,Python,,SQL,,C++,Java,Javascript,,,Bash,,,,,,
9061,2020,Other,Python,R,SQL,,,Java,Javascript,,,,,,,,,
9062,2020,Software Engineer,,,,,,Java,Javascript,,,,,,Other,,,
9063,2020,Data Scientist,Python,,,,,,,,,,,,Other,,,
9064,2020,Currently not employed,Python,,SQL,,,,,,,,,,,,,
9065,2020,,,,,,,,,,,,,,,,,
9066,2020,Student,,R,,,,,,,,,,,Other,,,
9067,2020,Other,Python,,,,,,,,,,,,,,,
9068,2020,Currently not employed,Python,,,,,Java,,,,Bash,,,Other,,,
9069,2020,Software Engineer,Python,,SQL,C,C++,Java,Javascript,,Swift,Bash,,,,,,
9070,2020,Data Analyst,Python,,,,,,,,,,,,Other,,,
9071,2020,Data Scientist,Python,R,SQL,,,,,Julia,,,,,,,,
9072,2020,Student,Python,,SQL,,,Java,Javascript,,,,,,,,,
9073,2020,Student,Python,,,,,,,,,,,,,,,
9074,2020,Student,Python,R,SQL,,,,,,,,,,,,,
9075,2020,Business Analyst,,,,,,,,,,,,,Other,,,
9076,2020,Product/Project Manager,Python,,SQL,,,,,,,Bash,,,,,,
9077,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
9078,2020,Student,Python,,,C,,,,,,,,,,,,
9079,2020,Student,Python,,,,,Java,,,,,,,,,,
9080,2020,Product/Project Manager,,,,,,,,,,,,,,,,
9081,2020,Product/Project Manager,Python,,,,,,,,,,,,,,,
9082,2020,Software Engineer,Python,,SQL,C,,,,,,,,,,,,
9083,2020,Other,Python,R,SQL,,,,,,,Bash,,,,,,
9084,2020,Data Scientist,Python,,,,,,,,,,,,,,,
9085,2020,Data Scientist,Python,R,SQL,,,,,,,,MATLAB,,,,,
9086,2020,Product/Project Manager,,,,,,,,,,,,,,,,
9087,2020,Currently not employed,Python,,,,,Java,Javascript,,,,,,,,,
9088,2020,Data Scientist,Python,R,,,,Java,Javascript,,,,MATLAB,,,,,
9089,2020,Student,Python,,SQL,C,C++,Java,,,,,,,,,,
9090,2020,Research Scientist,Python,,SQL,,,Java,Javascript,,,,,,,,,
9091,2020,Currently not employed,Python,,SQL,,,,,,,,,,,,,
9092,2020,Data Analyst,Python,,,,,,,,,,MATLAB,,,,,
9093,2020,Software Engineer,Python,,SQL,,,,Javascript,,,,,,Other,,,
9094,2020,Student,,,SQL,C,,,Javascript,,,,,,,,,
9095,2020,Student,,,,,,,,,,,,None,,,,
9096,2020,Currently not employed,Python,R,SQL,,,,,,,,MATLAB,,,,,
9097,2020,Research Scientist,Python,R,,,,,,,,,MATLAB,,,,,
9098,2020,Student,Python,,,,,,,,,,,,,,,
9099,2020,Student,Python,,,C,,,,,,,,,,,,
9100,2020,Student,Python,,,,,,,,,,MATLAB,,,,,
9101,2020,,,,,,,,,,,,,,,,,
9102,2020,Data Analyst,,R,SQL,,,,,,,,,,,,,
9103,2020,Data Scientist,Python,,,,,,,,,,,,,,,
9104,2020,Software Engineer,,,,,,Java,,,,,,,,,,
9105,2020,Currently not employed,,,,,,,,,,,,,,,,
9106,2020,DBA/Database Engineer,Python,,SQL,,,Java,,,,,,,,,,
9107,2020,Student,Python,,,,,,,,,,,,,,,
9108,2020,Business Analyst,Python,,SQL,,C++,,,,,,,,,,,
9109,2020,Data Analyst,Python,,SQL,,,,,,,,,,,,,
9110,2020,Student,Python,,,C,,Java,,,,,MATLAB,,,,,
9111,2020,Software Engineer,Python,,SQL,,,,,,,,,,,,,
9112,2020,Product/Project Manager,,,,,C++,Java,,,,,,,,,,
9113,2020,Student,Python,,,C,C++,Java,,,,,,,,,,
9114,2020,Research Scientist,Python,R,SQL,,,Java,,Julia,,,MATLAB,,,,,
9115,2020,Student,Python,,,,C++,Java,,,,,,,,,,
9116,2020,Data Scientist,Python,R,SQL,,,,,,,,,,,,,
9117,2020,Business Analyst,,,,,,,,,,,,None,,,,
9118,2020,Student,Python,,,,,Java,,,,,,,,,,
9119,2020,Software Engineer,Python,,,C,C++,,,,,,,,,,,
9120,2020,Data Scientist,Python,,,,,,,,,,,,Other,,,
9121,2020,Machine Learning Engineer,,,,,,,,,,,,,,,,
9122,2020,Student,Python,,SQL,,,,,,,,,,,,,
9123,2020,Other,Python,R,SQL,,,,,,,,,,,,,
9124,2020,Student,,,,,,,,,,,,,,,,
9125,2020,Data Engineer,Python,,SQL,,,Java,Javascript,,,,,,,,,
9126,2020,Software Engineer,Python,,SQL,,,,,,,,,,,,,
9127,2020,Product/Project Manager,,,,,,,,,,,,,Other,,,
9128,2020,,,,,,,,,,,,,,,,,
9129,2020,Data Analyst,,,,,,,,,,,,,,,,
9130,2020,Business Analyst,,,SQL,,,,,,,,,,,,,
9131,2020,Software Engineer,Python,,SQL,,,Java,,,,,,,,,,
9132,2020,Product/Project Manager,Python,,,,,Java,,,,,,,,,,
9133,2020,Student,,,,C,,Java,,,,,,,,,,
9134,2020,Research Scientist,Python,,,,,Java,,,,,,,,,,
9135,2020,Research Scientist,Python,,,C,,,,,,,MATLAB,,,,,
9136,2020,Currently not employed,Python,,SQL,,,,,,,,,,,,,
9137,2020,Business Analyst,Python,,,,C++,,,,,,,,,,,
9138,2020,Business Analyst,,,,,,,,,,,,None,,,,
9139,2020,Student,,,,,,,,,,,,None,,,,
9140,2020,Data Analyst,Python,,SQL,,,,,,,,MATLAB,,,,,
9141,2020,Machine Learning Engineer,Python,,SQL,,C++,,,,,,,,Other,,,
9142,2020,Student,Python,,,C,C++,Java,Javascript,,,,,,,,,
9143,2020,Student,Python,,,C,,Java,,,,,,,,,,
9144,2020,,,,,,,,,,,,,,,,,
9145,2020,Other,Python,,,,,,,,,,,,,,,
9146,2020,Other,Python,,SQL,,,,,,,Bash,,,,,,
9147,2020,Software Engineer,Python,R,SQL,,,Java,Javascript,,,,,,,,,
9148,2020,Other,Python,,,,,,,,,,,,,,,
9149,2020,Student,Python,,,,,,,,,,MATLAB,,,,,
9150,2020,Data Scientist,Python,R,,,C++,,,,,,,,,,,
9151,2020,Research Scientist,Python,,,,,,,,,,,,,,,
9152,2020,Student,Python,,SQL,C,C++,,,,,,,,,,,
9153,2020,Business Analyst,,,,,,,,,,,,,,,,
9154,2020,Data Engineer,Python,,,,,,,,,,MATLAB,,,,,
9155,2020,Student,,,,,,,,,,,,,,,,
9156,2020,Data Analyst,Python,,,C,,,,,,,,,,,,
9157,2020,Software Engineer,Python,,SQL,,,,Javascript,,,,,,Other,,,
9158,2020,Software Engineer,Python,,,,C++,,,,,,,,,,,
9159,2020,Other,Python,R,,,,,,,,,,,,,,
9160,2020,Data Analyst,Python,R,SQL,,,,Javascript,,,,,,Other,,,
9161,2020,Software Engineer,Python,,SQL,,,,Javascript,,,Bash,,,Other,,,
9162,2020,Data Engineer,Python,,SQL,,C++,,,,,Bash,,,,,,
9163,2020,Data Scientist,Python,R,SQL,,C++,,,,,,,,,,,
9164,2020,Other,Python,,,,,,,,,,,,,,,
9165,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
9166,2020,Currently not employed,Python,,,,,,,,,,,,,,,
9167,2020,Student,Python,,,,C++,Java,,,,,MATLAB,,,,,
9168,2020,Student,Python,,SQL,,C++,,,,,,MATLAB,,,,,
